#Photon energy	Wavelength	ep1	ep2	n	k
#eV	m				
4.133e+00	3.000e-07	-1.019e+00	6.027e+00	1.596e+00	1.888e+00
3.999e+00	3.100e-07	-8.733e-01	6.251e+00	1.649e+00	1.895e+00
3.874e+00	3.200e-07	-6.995e-01	6.341e+00	1.685e+00	1.881e+00
3.757e+00	3.300e-07	-5.587e-01	6.319e+00	1.701e+00	1.858e+00
3.647e+00	3.400e-07	-4.928e-01	6.219e+00	1.695e+00	1.835e+00
3.542e+00	3.500e-07	-5.248e-01	6.086e+00	1.671e+00	1.821e+00
3.444e+00	3.600e-07	-6.503e-01	5.975e+00	1.637e+00	1.825e+00
3.351e+00	3.700e-07	-8.306e-01	5.930e+00	1.606e+00	1.846e+00
3.263e+00	3.800e-07	-1.004e+00	5.962e+00	1.588e+00	1.877e+00
3.179e+00	3.900e-07	-1.114e+00	6.034e+00	1.585e+00	1.904e+00
3.100e+00	4.000e-07	-1.148e+00	6.083e+00	1.588e+00	1.915e+00
3.024e+00	4.100e-07	-1.139e+00	6.055e+00	1.585e+00	1.911e+00
2.952e+00	4.200e-07	-1.148e+00	5.947e+00	1.567e+00	1.898e+00
2.883e+00	4.300e-07	-1.198e+00	5.802e+00	1.537e+00	1.887e+00
2.818e+00	4.400e-07	-1.257e+00	5.651e+00	1.505e+00	1.877e+00
2.755e+00	4.500e-07	-1.274e+00	5.462e+00	1.472e+00	1.855e+00
2.695e+00	4.600e-07	-1.263e+00	5.154e+00	1.422e+00	1.812e+00
2.638e+00	4.700e-07	-1.313e+00	4.685e+00	1.333e+00	1.758e+00
2.583e+00	4.800e-07	-1.524e+00	4.094e+00	1.193e+00	1.716e+00
2.530e+00	4.900e-07	-1.936e+00	3.479e+00	1.011e+00	1.720e+00
2.480e+00	5.000e-07	-2.521e+00	2.929e+00	8.197e-01	1.787e+00
2.431e+00	5.100e-07	-3.216e+00	2.491e+00	6.527e-01	1.908e+00
2.384e+00	5.200e-07	-3.959e+00	2.166e+00	5.263e-01	2.058e+00
2.339e+00	5.300e-07	-4.709e+00	1.931e+00	4.363e-01	2.213e+00
2.296e+00	5.400e-07	-5.450e+00	1.761e+00	3.724e-01	2.364e+00
2.254e+00	5.500e-07	-6.177e+00	1.632e+00	3.256e-01	2.507e+00
2.214e+00	5.600e-07	-6.891e+00	1.531e+00	2.899e-01	2.641e+00
2.175e+00	5.700e-07	-7.598e+00	1.449e+00	2.617e-01	2.769e+00
2.138e+00	5.800e-07	-8.301e+00	1.381e+00	2.388e-01	2.891e+00
2.101e+00	5.900e-07	-9.003e+00	1.323e+00	2.199e-01	3.009e+00
2.066e+00	6.000e-07	-9.706e+00	1.274e+00	2.041e-01	3.122e+00
