#Photon energy	Wavelength	ep1	ep2	n	k
#eV	m				
4.133e+00	3.000e-07	-8.964e-01	5.708e+00	1.562e+00	1.827e+00
3.999e+00	3.100e-07	-7.807e-01	5.909e+00	1.609e+00	1.836e+00
3.874e+00	3.200e-07	-6.334e-01	5.991e+00	1.642e+00	1.825e+00
3.757e+00	3.300e-07	-5.130e-01	5.974e+00	1.656e+00	1.804e+00
3.647e+00	3.400e-07	-4.588e-01	5.887e+00	1.650e+00	1.784e+00
3.542e+00	3.500e-07	-4.937e-01	5.769e+00	1.627e+00	1.773e+00
3.444e+00	3.600e-07	-6.153e-01	5.672e+00	1.595e+00	1.778e+00
3.351e+00	3.700e-07	-7.881e-01	5.639e+00	1.566e+00	1.800e+00
3.263e+00	3.800e-07	-9.519e-01	5.679e+00	1.550e+00	1.832e+00
3.179e+00	3.900e-07	-1.052e+00	5.758e+00	1.549e+00	1.858e+00
3.100e+00	4.000e-07	-1.076e+00	5.810e+00	1.554e+00	1.869e+00
3.024e+00	4.100e-07	-1.061e+00	5.781e+00	1.552e+00	1.863e+00
2.952e+00	4.200e-07	-1.070e+00	5.673e+00	1.533e+00	1.850e+00
2.883e+00	4.300e-07	-1.128e+00	5.535e+00	1.503e+00	1.841e+00
2.818e+00	4.400e-07	-1.194e+00	5.404e+00	1.473e+00	1.834e+00
2.755e+00	4.500e-07	-1.210e+00	5.242e+00	1.444e+00	1.815e+00
2.695e+00	4.600e-07	-1.189e+00	4.963e+00	1.399e+00	1.774e+00
2.638e+00	4.700e-07	-1.225e+00	4.519e+00	1.315e+00	1.719e+00
2.583e+00	4.800e-07	-1.421e+00	3.954e+00	1.179e+00	1.677e+00
2.530e+00	4.900e-07	-1.816e+00	3.370e+00	1.003e+00	1.680e+00
2.480e+00	5.000e-07	-2.377e+00	2.856e+00	8.181e-01	1.745e+00
2.431e+00	5.100e-07	-3.038e+00	2.453e+00	6.582e-01	1.863e+00
2.384e+00	5.200e-07	-3.737e+00	2.158e+00	5.376e-01	2.007e+00
2.339e+00	5.300e-07	-4.440e+00	1.946e+00	4.515e-01	2.155e+00
2.296e+00	5.400e-07	-5.130e+00	1.791e+00	3.897e-01	2.298e+00
2.254e+00	5.500e-07	-5.807e+00	1.673e+00	3.437e-01	2.434e+00
2.214e+00	5.600e-07	-6.473e+00	1.578e+00	3.078e-01	2.563e+00
2.175e+00	5.700e-07	-7.133e+00	1.499e+00	2.790e-01	2.685e+00
2.138e+00	5.800e-07	-7.790e+00	1.431e+00	2.553e-01	2.803e+00
2.101e+00	5.900e-07	-8.448e+00	1.372e+00	2.353e-01	2.916e+00
2.066e+00	6.000e-07	-9.108e+00	1.322e+00	2.184e-01	3.026e+00
2.033e+00	6.100e-07	-9.771e+00	1.278e+00	2.040e-01	3.133e+00
2.000e+00	6.200e-07	-1.044e+01	1.240e+00	1.916e-01	3.237e+00
1.968e+00	6.300e-07	-1.111e+01	1.208e+00	1.809e-01	3.338e+00
1.937e+00	6.400e-07	-1.179e+01	1.181e+00	1.717e-01	3.438e+00
1.907e+00	6.500e-07	-1.247e+01	1.158e+00	1.638e-01	3.536e+00
1.879e+00	6.600e-07	-1.316e+01	1.140e+00	1.570e-01	3.632e+00
1.851e+00	6.700e-07	-1.386e+01	1.126e+00	1.511e-01	3.726e+00
1.823e+00	6.800e-07	-1.457e+01	1.115e+00	1.460e-01	3.819e+00
1.797e+00	6.900e-07	-1.528e+01	1.108e+00	1.417e-01	3.911e+00
1.771e+00	7.000e-07	-1.600e+01	1.104e+00	1.380e-01	4.002e+00
1.746e+00	7.100e-07	-1.672e+01	1.103e+00	1.348e-01	4.091e+00
1.722e+00	7.200e-07	-1.745e+01	1.105e+00	1.322e-01	4.180e+00
1.698e+00	7.300e-07	-1.819e+01	1.110e+00	1.300e-01	4.268e+00
1.675e+00	7.400e-07	-1.894e+01	1.117e+00	1.282e-01	4.354e+00
1.653e+00	7.500e-07	-1.970e+01	1.126e+00	1.268e-01	4.440e+00
1.631e+00	7.600e-07	-2.046e+01	1.137e+00	1.257e-01	4.525e+00
1.610e+00	7.700e-07	-2.123e+01	1.151e+00	1.248e-01	4.610e+00
1.590e+00	7.800e-07	-2.201e+01	1.166e+00	1.243e-01	4.694e+00
1.569e+00	7.900e-07	-2.280e+01	1.184e+00	1.239e-01	4.777e+00
1.550e+00	8.000e-07	-2.360e+01	1.203e+00	1.238e-01	4.859e+00
1.531e+00	8.100e-07	-2.440e+01	1.224e+00	1.239e-01	4.941e+00
1.512e+00	8.200e-07	-2.522e+01	1.247e+00	1.241e-01	5.023e+00
1.494e+00	8.300e-07	-2.604e+01	1.271e+00	1.245e-01	5.104e+00
1.476e+00	8.400e-07	-2.687e+01	1.297e+00	1.251e-01	5.185e+00
1.459e+00	8.500e-07	-2.770e+01	1.324e+00	1.258e-01	5.265e+00
1.442e+00	8.600e-07	-2.855e+01	1.353e+00	1.266e-01	5.345e+00
1.425e+00	8.700e-07	-2.940e+01	1.383e+00	1.275e-01	5.424e+00
1.409e+00	8.800e-07	-3.027e+01	1.415e+00	1.286e-01	5.503e+00
