#Photon energy	Wavelength	ep1	ep2	n	k
#eV	m				
4.133e+00	3.000e-07	-9.627e-01	6.448e+00	1.667e+00	1.934e+00
3.999e+00	3.100e-07	-7.975e-01	6.661e+00	1.719e+00	1.937e+00
3.874e+00	3.200e-07	-6.126e-01	6.736e+00	1.754e+00	1.921e+00
3.757e+00	3.300e-07	-4.686e-01	6.698e+00	1.767e+00	1.895e+00
3.647e+00	3.400e-07	-4.070e-01	6.581e+00	1.759e+00	1.871e+00
3.542e+00	3.500e-07	-4.503e-01	6.435e+00	1.732e+00	1.858e+00
3.444e+00	3.600e-07	-5.915e-01	6.317e+00	1.696e+00	1.862e+00
3.351e+00	3.700e-07	-7.875e-01	6.273e+00	1.664e+00	1.885e+00
3.263e+00	3.800e-07	-9.714e-01	6.310e+00	1.645e+00	1.918e+00
3.179e+00	3.900e-07	-1.086e+00	6.388e+00	1.642e+00	1.945e+00
3.100e+00	4.000e-07	-1.118e+00	6.436e+00	1.645e+00	1.956e+00
3.024e+00	4.100e-07	-1.108e+00	6.400e+00	1.641e+00	1.950e+00
2.952e+00	4.200e-07	-1.121e+00	6.279e+00	1.621e+00	1.936e+00
2.883e+00	4.300e-07	-1.180e+00	6.121e+00	1.590e+00	1.925e+00
2.818e+00	4.400e-07	-1.247e+00	5.958e+00	1.556e+00	1.915e+00
2.755e+00	4.500e-07	-1.272e+00	5.753e+00	1.520e+00	1.893e+00
2.695e+00	4.600e-07	-1.272e+00	5.423e+00	1.466e+00	1.850e+00
2.638e+00	4.700e-07	-1.340e+00	4.925e+00	1.372e+00	1.795e+00
2.583e+00	4.800e-07	-1.580e+00	4.308e+00	1.227e+00	1.756e+00
2.530e+00	4.900e-07	-2.028e+00	3.671e+00	1.041e+00	1.764e+00
2.480e+00	5.000e-07	-2.654e+00	3.107e+00	8.463e-01	1.836e+00
2.431e+00	5.100e-07	-3.389e+00	2.660e+00	6.780e-01	1.962e+00
2.384e+00	5.200e-07	-4.170e+00	2.330e+00	5.507e-01	2.115e+00
2.339e+00	5.300e-07	-4.959e+00	2.092e+00	4.600e-01	2.274e+00
2.296e+00	5.400e-07	-5.736e+00	1.919e+00	3.953e-01	2.427e+00
2.254e+00	5.500e-07	-6.499e+00	1.789e+00	3.476e-01	2.573e+00
2.214e+00	5.600e-07	-7.250e+00	1.687e+00	3.111e-01	2.710e+00
2.175e+00	5.700e-07	-7.993e+00	1.604e+00	2.822e-01	2.841e+00
2.138e+00	5.800e-07	-8.732e+00	1.535e+00	2.587e-01	2.966e+00
2.101e+00	5.900e-07	-9.471e+00	1.476e+00	2.392e-01	3.087e+00
2.066e+00	6.000e-07	-1.021e+01	1.428e+00	2.228e-01	3.203e+00
2.033e+00	6.100e-07	-1.095e+01	1.386e+00	2.090e-01	3.316e+00
